,company,entry_time,entry_threshold,take_profit,stop_loss,profit_train,profit_test,avg_profit_train,avg_profit_test,number_of_longs_train,number_of_longs_test,number_of_shorts_train,number_of_shorts_test
0,AEM,15:45,0.015,1.0,0.0025,0.0846241869870541,-0.02233893208563542,6.217206097036687e-05,-0.00013574306881003473,219,17,193,17
1152,AG,15:55,0.005,0.005,0.01,0.23918383144417987,0.04515044542253155,0.00015490597224387948,0.00025950937353957926,628,67,586,67
2304,AGI,15:45,0.015,0.02,0.01,0.0960596959626221,-0.0023682376239774205,0.00044671636571136375,-3.474505965206376e-05,52,9,49,11
3456,AU,15:45,0.0075,1.0,0.015,0.275259480993441,-0.035063108257482156,0.00019648602779631652,-0.00021127095326956002,421,58,423,44
4608,AUY,15:50,0.01,0.005,1.0,0.3792101854754184,-0.034074168022478646,0.00023961953135875902,-0.00020584058349537582,414,33,413,43
5760,BAC,15:55,0.025,0.005,0.02,0.022754381190465134,0.006880918825538318,1.5969030679352514e-05,3.9229404878105e-05,53,5,46,1
6912,BHP,15:45,0.005,0.01,0.005,0.18162233709303344,-0.018977932909382655,0.0001291135744609928,-0.00011475374299629859,389,46,399,45
8064,BTG,15:50,0.0075,0.005,1.0,0.801181460054774,-0.036183061354614465,0.00041792693383024826,-0.0002099028359889843,525,52,500,61
9216,BVN,15:50,0.02,1.0,0.005,0.004730988386114188,-0.04831487645013155,1.3063912577493397e-05,-0.0006843627464839797,129,18,127,20
10368,CDE,15:45,0.005,0.005,1.0,0.5471512604604842,-0.0039008370924433766,0.00031213078505110126,-1.5107787071588774e-05,624,67,609,73
11520,EGO,15:50,0.02,0.015,1.0,0.18586198407814414,0.010481708414224133,0.00013513216971916542,6.325829436071295e-05,297,16,270,21
12672,FNV,15:50,0.005,1.0,0.0025,0.029978088724375018,-0.02122514815979415,2.3526923068617478e-05,-0.0001261263859542172,447,64,482,53
13824,FSM,15:50,0.025,0.0075,0.0025,-0.13677570715806908,0.007532593836316881,-0.00010027494103004297,4.450290070612262e-05,201,17,200,20
14976,GFI,15:45,0.005,1.0,0.0075,0.5843501992657198,0.05987230198245608,0.00035280951553695594,0.0003530845629073909,552,67,541,54
16128,HMY,15:50,0.01,0.03,1.0,0.5471500763206898,-0.02911356725753711,0.00034161580752800624,-0.00017230144120372604,453,52,450,39
17280,IAG,15:45,0.015,0.005,0.01,-0.05120084888686316,-0.03512774278756503,-3.2826791820705914e-05,-0.00021024073849995606,348,31,332,39
18432,KGC,15:50,0.01,0.005,0.0075,0.30748707648439044,0.005474746923688656,0.00019235126816763426,3.3013961730388175e-05,437,39,417,39
19584,KL,15:45,0.025,1.0,1.0,0.1735494968093747,-0.021095336065200976,0.00021844728163245009,-0.00012759900083536557,76,5,72,10
20736,MAG,15:50,0.01,0.005,1.0,0.2850866565403267,0.005688429021091679,0.00019234762406816763,3.4236411489363405e-05,446,55,412,54
21888,NEM,15:50,0.005,0.02,0.025,0.24694662096665132,0.017246353945745696,0.00015858628479770154,9.944625171409704e-05,502,55,489,54
23040,NG,15:50,0.02,0.005,0.015,-0.005100455017450267,0.006265017154661434,-1.8524828604427057e-07,3.807821312529214e-05,265,20,241,18
24192,NGD,15:50,0.005,0.005,1.0,0.5068943728006938,0.14562499199158263,0.0003149296348035069,0.0008305151365202157,589,68,591,78
25344,OR,15:45,0.015,0.025,0.0025,0.025496011329586787,-0.01834798526641679,0.00013633585474370769,-0.00028434229512019904,32,7,27,8
26496,RGLD,15:50,0.025,0.005,0.0025,-0.007394965148893817,0.0,-5.151849737483616e-06,,89,0,60,0
27648,RIO,15:45,0.025,0.015,0.0025,-0.0014687827156264488,-0.00341471801925719,-9.157569930140497e-07,-2.070915482188518e-05,22,1,22,1
28800,SA,15:45,0.015,0.0075,0.0025,-0.0023192393954215573,-0.0038321617179378764,-9.02862140916838e-06,-5.8414247123383944e-05,44,7,39,10
29952,SAND,15:50,0.005,0.005,0.025,0.11286094342730246,-0.025952318886858228,8.57205296844743e-05,-0.00015440081547979378,568,69,543,64
31104,SVM,15:50,0.005,0.005,0.015,0.5989139133232053,0.05005444761653721,0.0005351633058463534,0.00028708912839681133,397,66,384,70
32256,WPM,15:45,0.005,0.015,0.005,0.12606934675482573,-0.01782550876249367,8.568127784736035e-05,-0.00010307816263166458,523,49,506,60
